SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
15032,4/14/20,Hainan,Mainland China,4/14/20 23:41,168,6,162
15033,4/14/20,Hawaii,US,4/14/20 23:41,511,9,0
15034,4/14/20,Hebei,Mainland China,4/14/20 23:41,327,6,314
15035,4/14/20,Heilongjiang,Mainland China,4/14/20 23:41,819,13,470
15036,4/14/20,Henan,Mainland China,4/14/20 23:41,1276,22,1254
15037,4/14/20,Hong Kong,Hong Kong,4/14/20 23:41,1012,4,434
15038,4/14/20,Hubei,Mainland China,4/14/20 23:41,67803,3221,64363
15039,4/14/20,Hunan,Mainland China,4/14/20 23:41,1019,4,1014
15040,4/14/20,Idaho,US,4/14/20 23:41,1464,33,0
15041,4/14/20,Illinois,US,4/14/20 23:41,23248,868,0
15042,4/14/20,Indiana,US,4/14/20 23:41,8527,387,0
15043,4/14/20,Inner Mongolia,Mainland China,4/14/20 23:41,190,1,91
15044,4/14/20,Iowa,US,4/14/20 23:41,1899,49,0
15045,4/14/20,Isle of Man,UK,4/14/20 23:41,254,2,141
15046,4/14/20,Jiangsu,Mainland China,4/14/20 23:41,653,0,641
15047,4/14/20,Jiangxi,Mainland China,4/14/20 23:41,937,1,936
15048,4/14/20,Jilin,Mainland China,4/14/20 23:41,100,1,96
15049,4/14/20,Kansas,US,4/14/20 23:41,1441,69,0
15050,4/14/20,Kentucky,US,4/14/20 23:41,2048,106,0
15051,4/14/20,Liaoning,Mainland China,4/14/20 23:41,145,2,138
15052,4/14/20,Louisiana,US,4/14/20 23:41,21518,1013,0
15053,4/14/20,Macau,Macau,4/14/20 23:41,45,0,13
15054,4/14/20,Maine,US,4/14/20 23:41,735,20,0
15055,4/14/20,Manitoba,Canada,4/14/20 23:41,246,4,0
15056,4/14/20,Martinique,France,4/14/20 23:41,157,6,50
15057,4/14/20,Maryland,US,4/14/20 23:41,9472,302,0
15058,4/14/20,Massachusetts,US,4/14/20 23:41,28164,844,0
15059,4/14/20,Mayotte,France,4/14/20 23:41,217,3,69
15060,4/14/20,Michigan,US,4/14/20 23:41,27001,1768,0
15061,4/14/20,Minnesota,US,4/14/20 23:41,1695,79,0
15062,4/14/20,Mississippi,US,4/14/20 23:41,3087,111,0
15063,4/14/20,Missouri,US,4/14/20 23:41,4746,149,0
15064,4/14/20,Montana,US,4/14/20 23:41,399,7,0
15065,4/14/20,Montserrat,UK,4/14/20 23:41,11,0,1
15066,4/14/20,Nebraska,US,4/14/20 23:41,897,20,0
15067,4/14/20,Nevada,US,4/14/20 23:41,3134,126,0
15068,4/14/20,New Brunswick,Canada,4/14/20 23:41,116,0,0
15069,4/14/20,New Caledonia,France,4/14/20 23:41,18,0,1
15070,4/14/20,New Hampshire,US,4/14/20 23:41,922,25,0
15071,4/14/20,New Jersey,US,4/14/20 23:41,68824,2805,0
15072,4/14/20,New Mexico,US,4/14/20 23:41,1345,31,0
15073,4/14/20,New South Wales,Australia,4/14/20 23:41,2870,25,4
15074,4/14/20,New York,US,4/14/20 23:41,203020,10842,0
15075,4/14/20,Newfoundland and Labrador,Canada,4/14/20 23:41,244,3,0
15076,4/14/20,Ningxia,Mainland China,4/14/20 23:41,75,0,75
15077,4/14/20,North Carolina,US,4/14/20 23:41,5113,112,0
15078,4/14/20,North Dakota,US,4/14/20 23:41,341,8,0
15079,4/14/20,Northern Mariana Islands,US,4/14/20 23:41,11,2,0
15080,4/14/20,Northern Territory,Australia,4/14/20 23:41,28,0,6
15081,4/14/20,Northwest Territories,Canada,4/14/20 23:41,5,0,0
15082,4/14/20,Nova Scotia,Canada,4/14/20 23:41,517,3,0
15083,4/14/20,Ohio,US,4/14/20 23:41,7285,324,0
15084,4/14/20,Oklahoma,US,4/14/20 23:41,2184,108,0
15085,4/14/20,Ontario,Canada,4/14/20 23:41,7953,334,0
15086,4/14/20,Oregon,US,4/14/20 23:41,1633,55,0
15087,4/14/20,Pennsylvania,US,4/14/20 23:41,25465,691,0
15088,4/14/20,Prince Edward Island,Canada,4/14/20 23:41,25,0,0
15089,4/14/20,Puerto Rico,US,4/14/20 23:41,923,45,0
15090,4/14/20,Qinghai,Mainland China,4/14/20 23:41,18,0,18
15091,4/14/20,Quebec,Canada,4/14/20 23:41,14248,435,0
15092,4/14/20,Queensland,Australia,4/14/20 23:41,998,5,442
15093,4/14/20,Recovered,Canada,4/14/20 23:41,0,0,8210
15094,4/14/20,Recovered,US,4/14/20 23:41,0,0,47763
15095,4/14/20,Reunion,France,4/14/20 23:41,391,0,40
15096,4/14/20,Rhode Island,US,4/14/20 23:41,3251,80,0
15097,4/14/20,Saint Barthelemy,France,4/14/20 23:41,6,0,4
15098,4/14/20,Saint Pierre and Miquelon,France,4/14/20 23:41,1,0,0
15099,4/14/20,Saskatchewan,Canada,4/14/20 23:41,300,4,0
15100,4/14/20,Shaanxi,Mainland China,4/14/20 23:41,256,3,248
15101,4/14/20,Shandong,Mainland China,4/14/20 23:41,784,7,759
15102,4/14/20,Shanghai,Mainland China,4/14/20 23:41,618,7,468
15103,4/14/20,Shanxi,Mainland China,4/14/20 23:41,173,0,135
15104,4/14/20,Sichuan,Mainland China,4/14/20 23:41,560,3,548
15105,4/14/20,Sint Maarten,Netherlands,4/14/20 23:41,52,9,5
15106,4/14/20,South Australia,Australia,4/14/20 23:41,433,4,240
15107,4/14/20,South Carolina,US,4/14/20 23:41,3553,97,0
15108,4/14/20,South Dakota,US,4/14/20 23:41,988,6,0
15109,4/14/20,St Martin,France,4/14/20 23:41,32,2,11
15110,4/14/20,Tasmania,Australia,4/14/20 23:41,165,6,53
15111,4/14/20,Tennessee,US,4/14/20 23:41,5827,124,0
15112,4/14/20,Texas,US,4/14/20 23:41,15006,342,0
15113,4/14/20,Tianjin,Mainland China,4/14/20 23:41,185,3,168
15114,4/14/20,Tibet,Mainland China,4/14/20 23:41,1,0,1
15115,4/14/20,Turks and Caicos Islands,UK,4/14/20 23:41,10,1,0
15116,4/14/20,Utah,US,4/14/20 23:41,2417,18,0
15117,4/14/20,Vermont,US,4/14/20 23:41,752,29,0
15118,4/14/20,Victoria,Australia,4/14/20 23:41,1291,14,1118
15119,4/14/20,Virgin Islands,US,4/14/20 23:41,51,1,0
15120,4/14/20,Virginia,US,4/14/20 23:41,6182,154,0
15121,4/14/20,Washington,US,4/14/20 23:41,10799,530,0
15122,4/14/20,West Virginia,US,4/14/20 23:41,640,9,0
15123,4/14/20,Western Australia,Australia,4/14/20 23:41,527,6,251
15124,4/14/20,Wisconsin,US,4/14/20 23:41,3555,170,0
15125,4/14/20,Wyoming,US,4/14/20 23:41,282,1,0
15126,4/14/20,Xinjiang,Mainland China,4/14/20 23:41,76,3,73
15127,4/14/20,Yukon,Canada,4/14/20 23:41,8,0,0
15128,4/14/20,Yunnan,Mainland China,4/14/20 23:41,184,2,175
15129,4/14/20,Zhejiang,Mainland China,4/14/20 23:41,1267,1,1242
15130,4/15/20,,Afghanistan,4/15/20 23:04,784,25,43
15131,4/15/20,,Albania,4/15/20 23:04,494,25,251
15132,4/15/20,,Algeria,4/15/20 23:04,2160,336,708
15133,4/15/20,,Andorra,4/15/20 23:04,673,33,169
15134,4/15/20,,Angola,4/15/20 23:04,19,2,5
15135,4/15/20,,Antigua and Barbuda,4/15/20 23:04,23,2,3
15136,4/15/20,,Argentina,4/15/20 23:04,2443,111,596
15137,4/15/20,,Armenia,4/15/20 23:04,1111,17,297
15138,4/15/20,,Austria,4/15/20 23:04,14336,393,8098
15139,4/15/20,,Azerbaijan,4/15/20 23:04,1253,13,404
15140,4/15/20,,Bahamas,4/15/20 23:04,49,8,6
15141,4/15/20,,Bahrain,4/15/20 23:04,1671,7,663
15142,4/15/20,,Bangladesh,4/15/20 23:04,1231,50,49
15143,4/15/20,,Barbados,4/15/20 23:04,73,5,15
15144,4/15/20,,Belarus,4/15/20 23:04,3728,36,203
15145,4/15/20,,Belgium,4/15/20 23:04,33573,4440,7107
15146,4/15/20,,Belize,4/15/20 23:04,18,2,0
15147,4/15/20,,Benin,4/15/20 23:04,35,1,18
15148,4/15/20,,Bhutan,4/15/20 23:04,5,0,2
15149,4/15/20,,Bolivia,4/15/20 23:04,397,28,7
15150,4/15/20,,Bosnia and Herzegovina,4/15/20 23:04,1110,41,253
15151,4/15/20,,Botswana,4/15/20 23:04,13,1,0
15152,4/15/20,,Brazil,4/15/20 23:04,28320,1736,14026
15153,4/15/20,,Brunei,4/15/20 23:04,136,1,108
15154,4/15/20,,Bulgaria,4/15/20 23:04,747,36,105
15155,4/15/20,,Burkina Faso,4/15/20 23:04,542,32,226
15156,4/15/20,,Burma,4/15/20 23:04,74,4,2
15157,4/15/20,,Burundi,4/15/20 23:04,5,1,0
15158,4/15/20,,Cabo Verde,4/15/20 23:04,56,1,1
15159,4/15/20,,Cambodia,4/15/20 23:04,122,0,96
15160,4/15/20,,Cameroon,4/15/20 23:04,848,17,165
15161,4/15/20,,Central African Republic,4/15/20 23:04,12,0,4
15162,4/15/20,,Chad,4/15/20 23:04,23,0,2
15163,4/15/20,,Chile,4/15/20 23:04,8273,94,2937
15164,4/15/20,,Colombia,4/15/20 23:04,3105,131,452
15165,4/15/20,,Congo (Brazzaville),4/15/20 23:04,117,5,11
15166,4/15/20,,Congo (Kinshasa),4/15/20 23:04,254,21,21
15167,4/15/20,,Costa Rica,4/15/20 23:04,626,4,67
15168,4/15/20,,Croatia,4/15/20 23:04,1741,33,473
15169,4/15/20,,Cuba,4/15/20 23:04,814,24,151
15170,4/15/20,,Cyprus,4/15/20 23:04,715,12,65
15171,4/15/20,,Czech Republic,4/15/20 23:04,6216,166,819
15172,4/15/20,,Denmark,4/15/20 23:04,6681,309,2748
15173,4/15/20,,Diamond Princess,4/15/20 23:04,712,12,639
15174,4/15/20,,Djibouti,4/15/20 23:04,435,2,71
15175,4/15/20,,Dominica,4/15/20 23:04,16,0,8
15176,4/15/20,,Dominican Republic,4/15/20 23:04,3614,189,208
15177,4/15/20,,Ecuador,4/15/20 23:04,7858,388,780
15178,4/15/20,,Egypt,4/15/20 23:04,2505,183,589
15179,4/15/20,,El Salvador,4/15/20 23:04,159,6,30
15180,4/15/20,,Equatorial Guinea,4/15/20 23:04,51,0,4
15181,4/15/20,,Eritrea,4/15/20 23:04,35,0,0
15182,4/15/20,,Estonia,4/15/20 23:04,1400,35,117
15183,4/15/20,,Eswatini,4/15/20 23:04,15,0,8
15184,4/15/20,,Ethiopia,4/15/20 23:04,85,3,15
15185,4/15/20,,Fiji,4/15/20 23:04,16,0,0
15186,4/15/20,,Finland,4/15/20 23:04,3237,72,300
15187,4/15/20,,France,4/15/20 23:04,133470,17167,30955
15188,4/15/20,,Gabon,4/15/20 23:04,80,1,4
15189,4/15/20,,Gambia,4/15/20 23:04,9,1,2
15190,4/15/20,,Georgia,4/15/20 23:04,306,3,71
15191,4/15/20,,Germany,4/15/20 23:04,134753,3804,72600
15192,4/15/20,,Ghana,4/15/20 23:04,636,8,17
15193,4/15/20,,Greece,4/15/20 23:04,2192,102,269
15194,4/15/20,,Grenada,4/15/20 23:04,14,0,0
15195,4/15/20,,Guatemala,4/15/20 23:04,180,5,19
15196,4/15/20,,Guinea,4/15/20 23:04,404,1,31
15197,4/15/20,,Guinea-Bissau,4/15/20 23:04,43,0,0
15198,4/15/20,,Guyana,4/15/20 23:04,55,6,8
15199,4/15/20,,Haiti,4/15/20 23:04,41,3,0
15200,4/15/20,,Holy See,4/15/20 23:04,8,0,2
15201,4/15/20,,Honduras,4/15/20 23:04,419,31,9
15202,4/15/20,,Hungary,4/15/20 23:04,1579,134,192
15203,4/15/20,,Iceland,4/15/20 23:04,1727,8,1077
15204,4/15/20,,India,4/15/20 23:04,12322,405,1432
15205,4/15/20,,Indonesia,4/15/20 23:04,5136,469,446
15206,4/15/20,,Iran,4/15/20 23:04,76389,4777,49933
15207,4/15/20,,Iraq,4/15/20 23:04,1415,79,812
15208,4/15/20,,Ireland,4/15/20 23:04,12547,444,77
15209,4/15/20,,Israel,4/15/20 23:04,12501,130,2563
15210,4/15/20,,Italy,4/15/20 23:04,165155,21645,38092
15211,4/15/20,,Ivory Coast,4/15/20 23:04,638,6,114
15212,4/15/20,,Jamaica,4/15/20 23:04,125,5,21
15213,4/15/20,,Japan,4/15/20 23:04,8100,146,853
15214,4/15/20,,Jordan,4/15/20 23:04,401,7,250
15215,4/15/20,,Kazakhstan,4/15/20 23:04,1295,16,240
15216,4/15/20,,Kenya,4/15/20 23:04,225,10,53
15217,4/15/20,,Kosovo,4/15/20 23:04,387,8,66
15218,4/15/20,,Kuwait,4/15/20 23:04,1405,3,206
15219,4/15/20,,Kyrgyzstan,4/15/20 23:04,449,5,78
15220,4/15/20,,Laos,4/15/20 23:04,19,0,1
15221,4/15/20,,Latvia,4/15/20 23:04,666,5,44
15222,4/15/20,,Lebanon,4/15/20 23:04,658,21,85
15223,4/15/20,,Liberia,4/15/20 23:04,59,6,4
15224,4/15/20,,Libya,4/15/20 23:04,48,1,9
15225,4/15/20,,Liechtenstein,4/15/20 23:04,79,1,55
15226,4/15/20,,Lithuania,4/15/20 23:04,1091,30,138
15227,4/15/20,,Luxembourg,4/15/20 23:04,3373,69,526
15228,4/15/20,,MS Zaandam,4/15/20 23:04,9,2,0
15229,4/15/20,,Madagascar,4/15/20 23:04,110,0,29
15230,4/15/20,,Malawi,4/15/20 23:04,16,2,0
15231,4/15/20,,Malaysia,4/15/20 23:04,5072,83,2647
15232,4/15/20,,Maldives,4/15/20 23:04,22,0,16
